x,y,z
5.000000e-001,0.000000e+000,9.277863e-004
4.997533e-001,1.570538e-002,9.277863e-004
4.990134e-001,3.139526e-002,9.277863e-004
4.977810e-001,4.705416e-002,9.277863e-004
4.960574e-001,6.266662e-002,9.277863e-004
4.938442e-001,7.821723e-002,9.277863e-004
4.911436e-001,9.369066e-002,9.277863e-004
4.879584e-001,1.090716e-001,9.277863e-004
4.842916e-001,1.243449e-001,9.277863e-004
4.801468e-001,1.394956e-001,9.277863e-004
4.755283e-001,1.545085e-001,9.277863e-004
4.704404e-001,1.693690e-001,9.277863e-004
4.648882e-001,1.840623e-001,9.277863e-004
4.588773e-001,1.985739e-001,9.277863e-004
4.524135e-001,2.128896e-001,9.277863e-004
4.455033e-001,2.269952e-001,9.277863e-004
4.381533e-001,2.408768e-001,9.277863e-004
4.303710e-001,2.545207e-001,9.277863e-004
4.221640e-001,2.679134e-001,9.277863e-004
4.135403e-001,2.810417e-001,9.277863e-004
4.045085e-001,2.938926e-001,9.277863e-004
3.950775e-001,3.064535e-001,9.277863e-004
3.852566e-001,3.187120e-001,9.277863e-004
3.750555e-001,3.306559e-001,9.277863e-004
3.644843e-001,3.422736e-001,9.277863e-004
3.535534e-001,3.535534e-001,9.277863e-004
3.422736e-001,3.644843e-001,9.277863e-004
3.306559e-001,3.750555e-001,9.277863e-004
3.187120e-001,3.852566e-001,9.277863e-004
3.064535e-001,3.950775e-001,9.277863e-004
2.938926e-001,4.045085e-001,9.277863e-004
2.810417e-001,4.135403e-001,9.277863e-004
2.679134e-001,4.221640e-001,9.277863e-004
2.545207e-001,4.303710e-001,9.277863e-004
2.408768e-001,4.381533e-001,9.277863e-004
2.269952e-001,4.455033e-001,9.277863e-004
2.128896e-001,4.524135e-001,9.277863e-004
1.985739e-001,4.588773e-001,9.277863e-004
1.840623e-001,4.648882e-001,9.277863e-004
1.693690e-001,4.704404e-001,9.277863e-004
1.545085e-001,4.755283e-001,9.277863e-004
1.394956e-001,4.801468e-001,9.277863e-004
1.243449e-001,4.842916e-001,9.277863e-004
1.090716e-001,4.879584e-001,9.277863e-004
9.369066e-002,4.911436e-001,9.277863e-004
7.821723e-002,4.938442e-001,9.277863e-004
6.266662e-002,4.960574e-001,9.277863e-004
4.705416e-002,4.977810e-001,9.277863e-004
3.139526e-002,4.990134e-001,9.277863e-004
1.570538e-002,4.997533e-001,9.277863e-004
4.996614e-001,0.000000e+000,6.000300e+004
4.994149e-001,1.569475e-002,6.000300e+004
4.986755e-001,3.137400e-002,6.000300e+004
4.974439e-001,4.702230e-002,6.000300e+004
4.957215e-001,6.262418e-002,6.000300e+004
4.935098e-001,7.816427e-002,6.000300e+004
4.908111e-001,9.362722e-002,6.000300e+004
4.876280e-001,1.089978e-001,6.000300e+004
4.839637e-001,1.242607e-001,6.000300e+004
4.798217e-001,1.394011e-001,6.000300e+004
4.752063e-001,1.544039e-001,6.000300e+004
4.701218e-001,1.692543e-001,6.000300e+004
4.645735e-001,1.839376e-001,6.000300e+004
4.585666e-001,1.984395e-001,6.000300e+004
4.521072e-001,2.127455e-001,6.000300e+004
4.452016e-001,2.268415e-001,6.000300e+004
4.378567e-001,2.407137e-001,6.000300e+004
4.300796e-001,2.543484e-001,6.000300e+004
4.218781e-001,2.677320e-001,6.000300e+004
4.132603e-001,2.808514e-001,6.000300e+004
4.042346e-001,2.936936e-001,6.000300e+004
3.948100e-001,3.062460e-001,6.000300e+004
3.849958e-001,3.184962e-001,6.000300e+004
3.748016e-001,3.304320e-001,6.000300e+004
3.642375e-001,3.420418e-001,6.000300e+004
3.533140e-001,3.533140e-001,6.000300e+004
3.420418e-001,3.642375e-001,6.000300e+004
3.304320e-001,3.748016e-001,6.000300e+004
3.184962e-001,3.849958e-001,6.000300e+004
3.062460e-001,3.948100e-001,6.000300e+004
2.936936e-001,4.042346e-001,6.000300e+004
2.808514e-001,4.132603e-001,6.000300e+004
2.677320e-001,4.218781e-001,6.000300e+004
2.543484e-001,4.300796e-001,6.000300e+004
2.407137e-001,4.378567e-001,6.000300e+004
2.268415e-001,4.452016e-001,6.000300e+004
2.127455e-001,4.521072e-001,6.000300e+004
1.984395e-001,4.585666e-001,6.000300e+004
1.839376e-001,4.645735e-001,6.000300e+004
1.692543e-001,4.701218e-001,6.000300e+004
1.544039e-001,4.752063e-001,6.000300e+004
1.394011e-001,4.798217e-001,6.000300e+004
1.242607e-001,4.839637e-001,6.000300e+004
1.089978e-001,4.876280e-001,6.000300e+004
9.362722e-002,4.908111e-001,6.000300e+004
7.816427e-002,4.935098e-001,6.000300e+004
6.262418e-002,4.957215e-001,6.000300e+004
4.702230e-002,4.974439e-001,6.000300e+004
3.137400e-002,4.986755e-001,6.000300e+004
1.569475e-002,4.994149e-001,6.000300e+004
4.989091e-001,0.000000e+000,6.000300e+004
4.986629e-001,1.567111e-002,6.000300e+004
4.979246e-001,3.132676e-002,6.000300e+004
4.966949e-001,4.695149e-002,6.000300e+004
4.949750e-001,6.252989e-002,6.000300e+004
4.927667e-001,7.804657e-002,6.000300e+004
4.900720e-001,9.348624e-002,6.000300e+004
4.868937e-001,1.088336e-001,6.000300e+004
4.832349e-001,1.240736e-001,6.000300e+004
4.790992e-001,1.391912e-001,6.000300e+004
4.744907e-001,1.541714e-001,6.000300e+004
4.694139e-001,1.689994e-001,6.000300e+004
4.638739e-001,1.836607e-001,6.000300e+004
4.578761e-001,1.981407e-001,6.000300e+004
4.514264e-001,2.124251e-001,6.000300e+004
4.445312e-001,2.265000e-001,6.000300e+004
4.371973e-001,2.403513e-001,6.000300e+004
4.294320e-001,2.539654e-001,6.000300e+004
4.212429e-001,2.673288e-001,6.000300e+004
4.126380e-001,2.804285e-001,6.000300e+004
4.036259e-001,2.932514e-001,6.000300e+004
3.942155e-001,3.057849e-001,6.000300e+004
3.844160e-001,3.180166e-001,6.000300e+004
3.742372e-001,3.299345e-001,6.000300e+004
3.636891e-001,3.415268e-001,6.000300e+004
3.527820e-001,3.527820e-001,6.000300e+004
3.415268e-001,3.636891e-001,6.000300e+004
3.299345e-001,3.742372e-001,6.000300e+004
3.180166e-001,3.844160e-001,6.000300e+004
3.057849e-001,3.942155e-001,6.000300e+004
2.932514e-001,4.036259e-001,6.000300e+004
2.804285e-001,4.126380e-001,6.000300e+004
2.673288e-001,4.212429e-001,6.000300e+004
2.539654e-001,4.294320e-001,6.000300e+004
2.403513e-001,4.371973e-001,6.000300e+004
2.265000e-001,4.445312e-001,6.000300e+004
2.124251e-001,4.514264e-001,6.000300e+004
1.981407e-001,4.578761e-001,6.000300e+004
1.836607e-001,4.638739e-001,6.000300e+004
1.689994e-001,4.694139e-001,6.000300e+004
1.541714e-001,4.744907e-001,6.000300e+004
1.391912e-001,4.790992e-001,6.000300e+004
1.240736e-001,4.832349e-001,6.000300e+004
1.088336e-001,4.868937e-001,6.000300e+004
9.348624e-002,4.900720e-001,6.000300e+004
7.804657e-002,4.927667e-001,6.000300e+004
6.252989e-002,4.949750e-001,6.000300e+004
4.695149e-002,4.966949e-001,6.000300e+004
3.132676e-002,4.979246e-001,6.000300e+004
1.567111e-002,4.986629e-001,6.000300e+004
4.981506e-001,0.000000e+000,6.000300e+004
4.979047e-001,1.564729e-002,6.000300e+004
4.971676e-001,3.127913e-002,6.000300e+004
4.959397e-001,4.688011e-002,6.000300e+004
4.942225e-001,6.243482e-002,6.000300e+004
4.920175e-001,7.792792e-002,6.000300e+004
4.893269e-001,9.334411e-002,6.000300e+004
4.861535e-001,1.086682e-001,6.000300e+004
4.825002e-001,1.238850e-001,6.000300e+004
4.783708e-001,1.389796e-001,6.000300e+004
4.737693e-001,1.539370e-001,6.000300e+004
4.687003e-001,1.687425e-001,6.000300e+004
4.631687e-001,1.833814e-001,6.000300e+004
4.571800e-001,1.978394e-001,6.000300e+004
4.507401e-001,2.121022e-001,6.000300e+004
4.438554e-001,2.261556e-001,6.000300e+004
4.365327e-001,2.399859e-001,6.000300e+004
4.287791e-001,2.535793e-001,6.000300e+004
4.206024e-001,2.669224e-001,6.000300e+004
4.120106e-001,2.800021e-001,6.000300e+004
4.030123e-001,2.928055e-001,6.000300e+004
3.936162e-001,3.053200e-001,6.000300e+004
3.838316e-001,3.175331e-001,6.000300e+004
3.736682e-001,3.294329e-001,6.000300e+004
3.631361e-001,3.410075e-001,6.000300e+004
3.522456e-001,3.522456e-001,6.000300e+004
3.410075e-001,3.631361e-001,6.000300e+004
3.294329e-001,3.736682e-001,6.000300e+004
3.175331e-001,3.838316e-001,6.000300e+004
3.053200e-001,3.936162e-001,6.000300e+004
2.928055e-001,4.030123e-001,6.000300e+004
2.800021e-001,4.120106e-001,6.000300e+004
2.669224e-001,4.206024e-001,6.000300e+004
2.535793e-001,4.287791e-001,6.000300e+004
2.399859e-001,4.365327e-001,6.000300e+004
2.261556e-001,4.438554e-001,6.000300e+004
2.121022e-001,4.507401e-001,6.000300e+004
1.978394e-001,4.571800e-001,6.000300e+004
1.833814e-001,4.631687e-001,6.000300e+004
1.687425e-001,4.687003e-001,6.000300e+004
1.539370e-001,4.737693e-001,6.000300e+004
1.389796e-001,4.783708e-001,6.000300e+004
1.238850e-001,4.825002e-001,6.000300e+004
1.086682e-001,4.861535e-001,6.000300e+004
9.334411e-002,4.893269e-001,6.000300e+004
7.792792e-002,4.920175e-001,6.000300e+004
6.243482e-002,4.942225e-001,6.000300e+004
4.688011e-002,4.959397e-001,6.000300e+004
3.127913e-002,4.971676e-001,6.000300e+004
1.564729e-002,4.979047e-001,6.000300e+004
4.973859e-001,0.000000e+000,6.000300e+004
4.971405e-001,1.562327e-002,6.000300e+004
4.964044e-001,3.123112e-002,6.000300e+004
4.951785e-001,4.680815e-002,6.000300e+004
4.934639e-001,6.233898e-002,6.000300e+004
4.912622e-001,7.780830e-002,6.000300e+004
4.885758e-001,9.320082e-002,6.000300e+004
4.854072e-001,1.085014e-001,6.000300e+004
4.817596e-001,1.236948e-001,6.000300e+004
4.776365e-001,1.387662e-001,6.000300e+004
4.730421e-001,1.537007e-001,6.000300e+004
4.679808e-001,1.684835e-001,6.000300e+004
4.624577e-001,1.831000e-001,6.000300e+004
4.564782e-001,1.975358e-001,6.000300e+004
4.500482e-001,2.117766e-001,6.000300e+004
4.431741e-001,2.258085e-001,6.000300e+004
4.358626e-001,2.396175e-001,6.000300e+004
4.281209e-001,2.531900e-001,6.000300e+004
4.199568e-001,2.665127e-001,6.000300e+004
4.113782e-001,2.795723e-001,6.000300e+004
4.023936e-001,2.923561e-001,6.000300e+004
3.930120e-001,3.048513e-001,6.000300e+004
3.832424e-001,3.170457e-001,6.000300e+004
3.730947e-001,3.289272e-001,6.000300e+004
3.625787e-001,3.404841e-001,6.000300e+004
3.517049e-001,3.517049e-001,6.000300e+004
3.404841e-001,3.625787e-001,6.000300e+004
3.289272e-001,3.730947e-001,6.000300e+004
3.170457e-001,3.832424e-001,6.000300e+004
3.048513e-001,3.930120e-001,6.000300e+004
2.923561e-001,4.023936e-001,6.000300e+004
2.795723e-001,4.113782e-001,6.000300e+004
2.665127e-001,4.199568e-001,6.000300e+004
2.531900e-001,4.281209e-001,6.000300e+004
2.396175e-001,4.358626e-001,6.000300e+004
2.258085e-001,4.431741e-001,6.000300e+004
